,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21
H1,"1.1
13.28","1.2
13.27","1.3
13.26","1.4
13.25","1.5
13.24","1.6
13.23","1.7
13.22",,,,,,,,"1.8
13.21","1.9
13.20","1.10
13.19","1.11
13.18","1.12
13.17","1.13
13.16","1.14
13.15"
,,,,,,,,,,,,,,,,,,,,,
H2,"2.1
12.28","2.2
12.27","2.3
12.26","2.4
12.25","2.5
12.24","2.6
12.23","2.7
12.22",,,,,,,,"2.8
12.21","2.9
12.20","2.10
12.19","2.11
12.18","2.12
12.17","2.13
12.16","2.14
12.15"
,,,,,,,,,,,,,,,,,,,,,
H3,"3.1
11.28","3.2
11.27","3.3
11.26","3.4
11.25","3.5
11.24","3.6
11.23","3.7
11.22",,,,,,,,"3.8
11.21","3.9
11.20","3.10
11.19","3.11
11.18","3.12
11.17","3.13
11.16","3.14
11.15"
,,,,,,,,,,,,,,,,,,,,,
H4,"4.1
10.28","4.2
10.27","4.3
10.26","4.4
10.25","4.5
10.24","4.6
10.23","4.7
10.22",,,,,,,,"4.8
10.21","4.9
10.20","4.10
10.19","4.11
10.18","4.12
10.17","4.13
10.16","4.14
10.15"
,,,,,,,,,,,,,,,,,,,,,
H5,"5.1
9.28","5.2
9.27","5.3
9.26","5.4
9.25","5.5
9.24","5.6
9.23","5.7
9.22",,,,,,,,"5.8
9.21","5.9
9.20","5.10
9.19","5.11
9.18","5.12
9.17","5.13
9.16","5.14
9.15"
,,,,,,,,,,,,,,,,,,,,,
H6,"6.1
8.28","6.2
8.27","6.3
8.26","6.4
8.25","6.5
8.24","6.6
8.23","6.7
8.22",,,,,,,,"6.8
8.21","6.9
8.20","6.10
8.19","6.11
8.18","6.12
8.17","6.13
8.16","6.14
8.15"
,,,,,,,,,,,,,,,,,,,,,
H7,7.1,7.2,7.3,7.4,7.5,7.6,7.7,,,,,,,,7.8,7.9,7.1,7.11,7.12,7.13,7.14
,,,,,,,,,,,,,,,,,,,,,
H8,,,,,,,,,,,,,,,,,,,,,
H9,,,,,,,,,,,,,,,,,,,,,
H10,,,,,,,,,,,,,,,,,,,,,
H11,,,,,,,,,,,,,,,,,,,,,
H12,,,,,,,,,,,,,,,,,,,,,
H13,,,,,,,,,,,,,,,,,,,,,
H14,,,,,,,,,,,,,,,,,,,,,
H15,"1.15
13.14","1.16
13.13","1.17
13.12","1.18
13.11","1.19
13.10","1.20
13.9","1.21
13.8",,,,,,,,"1.22
13.7","1.23
13.6","1.24
13.5","1.25
13.4","1.26
13.3","1.27
13.2","1.28
13.1"
,,,,,,,,,,,,,,,,,,,,,
H16,"2.15
12.14","2.16
12.13","2.17
12.12","2.18
12.11","2.19
12.10","2.20
12.9","2.21
12.8",,,,,,,,"2.22
12.7","2.23
12.6","2.24
12.5","2.25
12.4","2.26
12.3","2.27
12.2","2.28
12.1"
,,,,,,,,,,,,,,,,,,,,,
H17,"3.15
11.14","3.16
11.13","3.17
11.12","3.18
11.11","3.19
11.10","3.20
11.9","3.21
11.8",,,,,,,,"3.22
11.7","3.23
11.6","3.24
11.5","3.25
11.4","3.26
11.3","3.27
11.2","3.28
11.1"
,,,,,,,,,,,,,,,,,,,,,
H18,"4.15
10.14","4.16
10.13","4.17
10.12","4.18
10.11","4.19
10.10","4.20
10.9","4.21
10.8",,,,,,,,"4.22
10.71","4.23
10.6","4.24
10.5","4.25
10.4","4.26
10.3","4.27
10.2","4.28
10.1"
,,,,,,,,,,,,,,,,,,,,,
H19,"5.15
9.14","5.16
9.13","5.17
9.12","5.18
9.11","5.19
9.10","5.20
9.9","5.21
9.8",,,,,,,,"5.22
9.7","5.23
9.6","5.24
9.5","5.25
9.4","5.26
9.3","5.27
92","5.28
9.1"
,,,,,,,,,,,,,,,,,,,,,
H20,"6.15
8.14","6.16
8.13","6.17
8.12","6.18
8.11","6.19
8.10","6.20
8.9","6.21
8.8",,,,,,,,"6.22
8.7","6.23
8.6","6.24
8.5","6.25
8.4","6.26
8.3","6.27
8.2","6.28
8.1"
,,,,,,,,,,,,,,,,,,,,,
H21,7.15,7.16,7.17,7.18,7.19,7.2,7.21,,,,,,,,7.22,7.23,7.24,7.25,7.26,7.27,7.28
