,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20, V21
H1,1,43,85,127,1,21,41,61,81,101,121,141,161,181,201,221,241,168,126,84,42
H2,2,44,86,128,2,22,42,62,82,102,122,142,162,182,202,222,242,167,125,83,41
H3,3,45,87,129,3,23,43,63,83,103,123,143,163,183,203,223,243,166,124,82,40
H4,4,46,88,130,4,24,44,64,84,104,124,144,164,184,204,224,244,165,123,81,39
H5,5,47,89,131,5,25,45,65,85,105,125,145,165,185,205,225,245,164,122,80,38
H6,6,48,90,132,6,26,46,66,86,106,126,146,166,186,206,226,246,163,121,79,37
H7,7,49,91,133,7,27,47,67,87,107,127,147,167,187,207,227,247,162,120,78,36
H8,8,50,92,134,8,28,48,68,88,108,128,148,168,188,208,228,248,161,119,77,35
H9,9,51,93,135,9,29,49,69,89,109,129,149,169,189,209,229,249,160,118,761,34
H10,10,52,94,136,10,30,50,70,90,110,130,150,170,190,210,230,250,159,117,75,33
H11,11,53,95,137,,,,,,,,,,,,,,158,116,74,32
H12,12,54,96,138,11,31,51,71,91,111,131,151,171,191,211,231,251,157,115,731,31
H13,13,55,97,139,12,32,52,72,92,112,132,152,172,192,212,232,252,156,114,72,30
H14,14,56,98,140,13,33,53,73,93,113,133,153,173,193,213,233,253,155,113,71,29
H15,15,57,99,141,14,34,54,74,94,114,134,154,174,194,214,234,254,154,112,70,28
H16,16,58,100,142,15,35,55,75,95,115,135,155,175,195,215,235,255,153,111,69,27
H17,17,59,101,143,16,36,56,76,96,116,136,156,176,196,216,236,256,152,110,68,26
H18,18,60,102,144,17,37,57,77,97,117,137,157,177,197,217,237,257,151,109,67,25
H19,19,61,103,145,18,38,58,78,98,118,138,158,178,198,218,238,258,150,108,66,24
H20,20,62,104,146,19,39,59,79,99,119,139,159,179,199,219,239,259,149,107,65,23
H21,21,63,105,147,20,40,60,80,100,120,140,160,180,200,220,240,260,148,106,64,22
